time	event
0.1	1
0.1	1
0.15	1
0.6	1
0.8	1
0.8	1
1.2	1
2.5	1
3	1
4	1
4	1
6	1
10	1
10	1
12.5	1
20	1
20	1
43	1
43	1
48	1
48	1
54	1
74	1
84	1
94	1
168	1
263	1
593	1
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
1370	0
